This content calendar is a master view of all AI & Cortex Code activities ,,,,,,,,,,,,,,,,
DRI: Krista Rockson ,,,,,,,,,,,,,,,,
"The goal is for this to be as comprehensive as possible, YES -- DO ADD YOUR ACTIVITIES IF YOU WANT VISIBILITY",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Date,Campaign,Type,Topic,Aud,Status,DRI,Brief,Key Topics,YouTube Title,YouTube Description,Pre-Record Action,CTA,Action Due,Guest,Guest Status,Notes
2026-02-03,Coco,Dev Guide,Cortex Code Best Practices Guide (https://www.snowflake.com/en/developers/guides/best-practices-cortex-code-cli/),All,Completed,Krista Rockson,,,,,,,,,,
2026-02-06,Agents,Video,9 Ways to Take Cortex Agents to Production,All,In progress,James Cha-Earley,Send It Episode 1,"Orchestration instructions, response instructions, semantic view/model design, Cortex Search configuration, tool descriptions, evals",10 Tips for Taking Your Cortex Agent from Demo to Production | Send It Ep. 1,"Getting a Cortex Agent demo working is easy—getting it production-ready is another story. We cover practical lessons for external use: writing orchestration instructions that route queries to the right tools, crafting response instructions that match your brand, designing semantic models that work, and configuring Cortex Search for accuracy. Part 1 of the Send It series.",Finalize outline & book recording,,Jan 24,,,
2026-02-10,Coco,LinkedIn Live,[LIVE] Cortex Code in Action (https://www.linkedin.com/events/7425227213870002176?viewAsMember=true),All,Ready,James Cha-Earley,2/10 LinkedIn Live: Cortex Code In Action,YouTube Link: https://www.youtube.com/watch?v=YLGL0MU5AXQ,,,,,,,,
2026-02-11,"AI, Coco",Webinar,What's New In Snowflake (https://www.snowflake.com/en/webinars/demo/whats-new-in-snowflake-2026-01-28),,Ready,James Cha-Earley,,,,,,,,,,
2026-02-11,Coco,Video,Cortex Code Overview,All,In progress,James Cha-Earley,Cortex Code Overview,,,,,,,,,
2026-02-11,Coco,Video,"Building Data Agents (Basic, end-to-end)",All,In progress,James Cha-Earley,Cortex Code: Building Data Agent,,,,,,,,,
2026-02-18,Coco,LinkedIn Live,How Cortex Code Powers Data Science at Snowflake,AIl,In progress,James Cha-Earley,2/18 LinkedIn Live: How Cortex Code Powers Data Science at Snowflake,,,,,,,,,
2026-02-25,"Agents, Coco",LinkedIn Live,Semantic View Best Practices for Snowflake Intelligence,AIl,In progress,James Cha-Earley,LinkedIn Live: Semantic Views for Snowflake Intelligence,"Scoping & success criteria, descriptions (most important!), verified queries, metrics & filters, custom instructions, Cortex Search for fuzzy matching, common pitfalls",Semantic Views That Actually Work: Best Practices for Snowflake Intelligence | Send It Ep. 2,"Your semantic view works in the demo. But will it survive real users? We cover the practices that separate POCs from production: starting small with clear success criteria, writing descriptions that actually help the LLM, adding verified queries for accuracy, using metrics and filters, custom instructions done right, and the common pitfalls that trip teams up. Part 2 of the Send It series.",Finalize outline,,Feb 7,,,Tight turnaround with Ep 1
2026-02-26,"Agents, Coco",VHOL,Build Reliable and Production-Ready Agents Faster with Snowflake Cortex AI (https://www.snowflake.com/en/webinars/virtual-hands-on-lab/build-reliable-and-productionready-agents-faster-with-snowflake-cortex-ai-2026-02-26/),All,Finalizing,James Cha-Earley,FY27 Q1 Data Agents VHOL Project Timeline (AI/ML),,,,,,,,,
2026-03-11,Agents,LinkedIn Live,Shipping Cortex Agents: A Production Story,,Not started,James Cha-Earley,,"Real story: shipping Cortex Agents to real users, challenges, iteration, lessons learned",How We Shipped a Cortex Agent to Thousands of Users | Send It Ep. 3,"Theory is great. Reality is messier. We sit down with [Guest Name] to hear the real story of taking a Cortex Agent from prototype to production—what surprised them, what broke, and what they wish they'd known. Part 3 of the Send It series.",Confirm guest & prep questions,,Jan 27,Tyler,,Likely internal tool used across Snowflake; Tyler Data Set?
2026-03-17,,SVAI Hub,,,Not started,Krista Rockson,,,,,,,,,,
2026-03-18,Agents,LinkedIn Live,,,Not started,James Cha-Earley,,,What Customers Actually Need from Cortex Agents | Send It Ep. 4,"What do customers actually ask for when they want AI? We talk with [Guest Name] from the field about real customer requirements, common deployment patterns, the gaps between expectation and reality, and what separates successful external AI rollouts from the rest. Part 4 of the Send It series.",Confirm guest & prep questions,,Feb 10,Solutions Eng or Field CTO or FDE,,
2026-03-25,Agents,LinkedIn Live,,,Not started,James Cha-Earley,,,When One Agent Isn't Enough: Building Multi-Agent Systems | Send It Ep. 6,"Sometimes one agent can't do it all. We sit down with [Guest Name] to talk about multi-agent architectures: when you need them, how to orchestrate across agents, routing strategies, and lessons from building a real multi-agent system. Part 6 of the Send It series.",Confirm guest & prep questions,,Mar 28,,,
2026-04-01,Agents,LinkedIn Live,Monitoring & Evals for AI,AIl,Not started,James Cha-Earley,,"Monitoring agents in production, evaluation frameworks , quality metrics",How to Know If Your AI Is Actually Working | Send It Ep. 5,"Your agent is live. Customers are using it. But is it working? We sit down with [Guest Name] to talk monitoring and evals for AI: what metrics matter, how to catch problems before customers do, and building evaluation frameworks that scale. Part 5 of the Send It series.",Confirm guest & prep questions,Quickstart,Mar 14,Josh or Customer or Tyler's Data set?,,
2026-04-08,,LinkedIn Live,Field Perspective on External AI,,Not started,James Cha-Earley,,"Customer requirements, common asks, deployment patterns, what customers get wrong, success factors",,,,,,,,
2026-04-15,,LinkedIn Live,Multi-Agent Architectures,,Not started,James Cha-Earley,,"When one agent isn't enough, orchestrating multiple agents, routing strategies, real-world multi-agent patterns",,,,,,,,
2026-04-16,,SVAI Hub,,,Not started,,,,,,,,,,,
2026-04-22,,LinkedIn Live,,,Not started,,,,,,,,,,,
2026-04-29,,LinkedIn Live,,,Not started,,,,,,,,,,,
,Coco,Video,Introduction to Data Analysis,All,Not started,Tyler Simons,,,,,,,,,,
,Coco,Video,Internal app development with Streamlit,Data teams,Not started,Chanin Nantasenamat,,,,,,,,,,
,Coco,Video,DBT PROJECTS PLACEHOLDER,DE,Not started,Vino Duraisamy,,,,,,,,,,
,Coco,Video,Managing admin functions (e.g. cost/RBAC),Admins,Not started,Dash Desai,,,,,,,,,,