Date,Event,Launch Tier ,Campaign Feature,Working Group,Campaign Type,Channel Asset,Team,Asset Link
2025-09-22,Postgres Week - Social: Why We Love Postgres,,,,Awareness,LinkedIn,,
2025-09-22,Postgres Week - Blog: A History of PostgreSQL,,,,Awareness,Others,,Crunchydata Blog
2025-09-24,Postgres Week - Blog: What’s new in PostgreSQL 18?,,,,Awareness,Others,,Crunchydata Blog
2025-09-23,Postgres Week - Social: How Postgres became the everything database,,,,,,,
2025-09-24,Postgres Week - Social: What’s new in PostgreSQL 18?,,,,,,,
2025-09-25,Postgres Week - Social: Meet the team behind Snowflake Postgres ,,,,,,,
2025-09-25,Postgres Week - Blog: Meet the team behind Snowflake Postgres ,,,,Awareness,Others,,Snowflake Blog
2025-09-26,Postgres Week - Social: The Future of Postgres ,,,,,,,
2025-09-30,[PrPr] Snowflake Postgres Launch,,Snowflake Postgres,,Awareness,,,
2025-10-03,Supply Chain AI - Solution Center Release,,Supply Chain AI,AI/ML,Awareness,Solution Center,DevRel,
2025-10-06,Supply Chain AI - Flurries Solution Center Campaign/Webinar Promo,,Supply Chain AI,AI/ML,Awareness,Flurries,DevRel,
2025-10-10,Supply Chain AI - Flurries Solution Center Campaign/Webinar Promo,,Supply Chain AI,AI/ML,Awareness,Flurries,DevRel,
2025-10-13,Supply Chain AI - Flurries Solution Center Campaign/Webinar Promo,,Supply Chain AI,AI/ML,Awareness,Flurries,DevRel,
2025-10-15,Supply Chain AI - LiveStream/Webinar Promo,,Supply Chain AI,AI/ML,Awareness,LiveStream,DevRel,
2025-10-20,Supply Chain AI - Flurries Solution Center Campaign/Webinar Promo,,Supply Chain AI,AI/ML,Awareness,Flurries,DevRel,
2025-10-23,Supply Chain AI - Webinar,,Supply Chain AI,AI/ML,Awareness,Others,DG,
2025-11-04,BUILD,,BUILD,,,,,
2025-11-05,BUILD,,BUILD,,,,,
2025-11-06,BUILD,,BUILD,,,,,
2026-01-15,DE Data Connect,,,,,,,
2026-01-27,AI Day,,,,,,,
2025-10-02,[PuPr] MCP server,,,,,,,
2025-10-15,[PrPr] Notebooks vNext,,,,,,,
2025-10-20,[GA] Semantic View Sharing,,,,,,,
2026-01-27,What is Snowflake? - Video Release,,,,,,,
2026-02-03,BUILD London,,,,,,,
2026-02-03,BUILD London DA Flurries Campaign,,,,Awareness,,,
2026-02-04,BUILD London DA Flurries Campaign,,,,Awareness,,,
2026-02-05,BUILD London DA Flurries Campaign,,,,Awareness,,,
2026-02-06,BUILD London DA Flurries Campaign,,,,Awareness,,,
2026-02-23,"Tentative ""What is Snowflake?"" social campaign and paid ads",,,,Awareness,,,
2026-02-24,"Tentative ""What is Snowflake?"" social campaign and paid ads",,,,Awareness,,,
2026-02-25,"Tentative ""What is Snowflake?"" social campaign and paid ads",,,,Awareness,,,
2026-02-26,"Tentative ""What is Snowflake?"" social campaign and paid ads",,,,Awareness,,,
2026-02-27,"Tentative ""What is Snowflake?"" social campaign and paid ads",,,,Awareness,,,
2026-02-09,Cortex Code Skills Campaign (ongoing),,,,,,,
2026-02-16,Cortex Code Skills Campaign (ongoing),,,,,,,
2026-02-23,Cortex Code Skills Campaign (ongoing),,,,,,,